article_number,doi,title,authors,publication_year,publication_date,publication_title,content_type,publisher,abstract,author_terms,ieee_terms,dynamic_index_terms,conference_location,conference_dates,volume,issue,start_page,end_page,isbn,issn,access_type,citing_paper_count,citing_patent_count,download_count,html_url,pdf_url,abstract_url
10160448,10.1109/ICRA48891.2023.10160448,RFFCE: Residual Feature Fusion and Confidence Evaluation Network for 6DoF Pose Estimation,Qiwei Meng; Shanshan Ji; Shiqiang Zhu; Tianlei Jin; Te Li; Jason Gu; Wei Song,2023,29 May-2 June 2023,2023 IEEE International Conference on Robotics and Automation (ICRA),Conferences,IEEE,"In this paper, we propose a novel RGBD-based object 6DoF pose estimation network - RFFCE. It is a two-stage method that firstly leverages deep neural networks for feature extraction and object points matching, and then the geometric principles are utilized for final pose computation. Our approach consists of three primary innovations: residual feature fusion for representative RGBD feature extraction; confidence evaluation and confidence-based paired points offsets regression for self-evaluation and self-optimization respectively. Their effectiveness is verified through an ablation study, and our RFFCE achieves the SOTA performance on LineMOD, Occlusion-LineMOD and YCB-Video datasets. Additionally, we also conduct a real-world object grasping experiment for visualization and qualitative evaluation of the RFFCE.",,,,"London, United Kingdom",29 May-2 June 2023,,,2876,2883,979-8-3503-2366-5,,LOCKED,8,0,451,https://ieeexplore.ieee.org/document/10160448/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10160448,https://ieeexplore.ieee.org/document/10160448/
10161041,10.1109/ICRA48891.2023.10161041,A Joint Modeling of Vision-Language-Action for Target-oriented Grasping in Clutter,Kechun Xu; Shuqi Zhao; Zhongxiang Zhou; Zizhang Li; Huaijin Pi; Yifeng Zhu; Yue Wang; Rong Xiong,2023,29 May-2 June 2023,2023 IEEE International Conference on Robotics and Automation (ICRA),Conferences,IEEE,"We focus on the task of language-conditioned grasping in clutter, in which a robot is supposed to grasp the target object based on a language instruction. Previous works separately conduct visual grounding to localize the target object, and generate a grasp for that object. However, these works require object labels or visual attributes for grounding, which calls for handcrafted rules in planner and restricts the range of language instructions. In this paper, we propose to jointly model vision, language and action with object-centric representation. Our method is applicable under more flexible language instructions, and not limited by visual grounding error. Besides, by utilizing the powerful priors from the pre-trained multi-modal model and grasp model, sample efficiency is effectively improved and the sim2real problem is relived without additional data for transfer. A series of experiments carried out in simulation and real world indicate that our method can achieve better task success rate by less times of motion under more flexible language instructions. Moreover, our method is capable of generalizing better to scenarios with unseen objects and language instructions.",,,,"London, United Kingdom",29 May-2 June 2023,,,11597,11604,979-8-3503-2366-5,,LOCKED,53,0,1268,https://ieeexplore.ieee.org/document/10161041/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10161041,https://ieeexplore.ieee.org/document/10161041/
10256379,10.1109/ECMR59166.2023.10256379,Adaptive Compliant Robot Control with Failure Recovery for Object Press-Fitting,Ekansh Sharma; Christoph Henke; Alex Mitrevski; Paul G. Plöger,2023,4-7 Sept. 2023,2023 European Conference on Mobile Robots (ECMR),Conferences,IEEE,"Loading of shipping containers for dairy products often includes a press-fit task, which involves manually stacking milk cartons in a container without using pallets or packaging. Automating this task with a mobile manipulator can reduce worker strain, and also enhance the efficiency and safety of the container loading process. This paper proposes an approach called Adaptive Compliant Control with Integrated Failure Recovery (ACCIFR), which enables a mobile manipulator to reliably perform the press-fit task. We base the approach on a demonstration learning-based compliant control framework, such that we integrate a monitoring and failure recovery mechanism for successful task execution. Concretely, we monitor the execution through distance and force feedback, detect collisions while the robot is performing the press-fit task, and use wrench measurements to classify the direction of collision; this information informs the subsequent recovery process. We evaluate the method on a miniature container setup, considering variations in the (i) starting position of the end effector, (ii) goal configuration, and (iii) object grasping position. The results demonstrate that the proposed approach outperforms the baseline demonstration-based learning framework regarding adaptability to environmental variations and the ability to recover from collision failures, making it a promising solution for practical press-fit applications.",,,,"Coimbra, Portugal",4-7 Sept. 2023,,,1,7,979-8-3503-0705-4,2639-7919,LOCKED,2,0,208,https://ieeexplore.ieee.org/document/10256379/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10256379,https://ieeexplore.ieee.org/document/10256379/
10265134,10.1109/LRA.2023.3320012,GraspGPT: Leveraging Semantic Knowledge From a Large Language Model for Task-Oriented Grasping,Chao Tang; Dehao Huang; Wenqi Ge; Weiyu Liu; Hong Zhang,2023,Nov. 2023,IEEE Robotics and Automation Letters,Journals,IEEE,"Task-oriented grasping (TOG) refers to the problem of predicting grasps on an object that enable subsequent manipulation tasks. To model the complex relationships between objects, tasks, and grasps, existing methods incorporate semantic knowledge as priors into TOG pipelines. However, the existing semantic knowledge is typically constructed based on closed-world concept sets, restraining the generalization to novel concepts out of the pre-defined sets. To address this issue, we propose GraspGPT, a large language model (LLM) based TOG framework that leverages the open-end semantic knowledge from an LLM to achieve zero-shot generalization to novel concepts. We conduct experiments on Language Augmented TaskGrasp (LA-TaskGrasp) dataset and demonstrate that GraspGPT outperforms existing TOG methods on different held-out settings when generalizing to novel concepts out of the training set. The effectiveness of GraspGPT is further validated in real-robot experiments.",Grasping; perception for grasping and manipulation; deep learning in grasping and manipulation,Task analysis; Semantics; Robots; Training; Grasping; Pipelines; Natural languages,Semantic Knowledge; Semantic Cognition; Semantic Concepts; Large Language Models; Pre-defined Set; Knowledge Base; Real-world Applications; Language Teaching; Language Of Instruction; Language Education; Related Concepts; Affordances; Point Cloud; Multilayer Perceptron; Object Classification; Path Planning; Motion Planning; Word Embedding; Word Vectors; Pitchers; Description Language; Single View; Object Task; Map Tasks; Incorporation Of Knowledge; Household Objects; Object Point Cloud; Pre-trained Encoder; Pre-trained Word Embeddings; Classification Maps; Target Object; Description Task; Bayesian Model; Bayesian Approach; Bayesian Network; Training Iterations; Ablation,,,8,11,7551,7558,,2377-3774,LOCKED,95,0,3730,https://ieeexplore.ieee.org/document/10265134/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10265134,https://ieeexplore.ieee.org/document/10265134/
10364374,10.1109/ICDL55364.2023.10364374,Developmental Scaffolding with Large Language Models,Batuhan Celik; Alper Ahmetoglu; Emre Ugur; Erhan Oztop,2023,9-11 Nov. 2023,2023 IEEE International Conference on Development and Learning (ICDL),Conferences,IEEE,"Exploration and self-observation are key mechanisms of infant sensorimotor development. These processes are further guided by parental scaffolding to accelerate skill and knowledge acquisition. In developmental robotics, this approach has been adopted often by having a human acting as the source of scaffolding. In this study, we investigate whether Large Language Models (LLMs) can act as a scaffolding agent for a robotic system that aims to learn to predict the effects of its actions. To this end, an object manipulation setup is considered where one object can be picked and placed on top of or in the vicinity of another object. The adopted LLM is asked to guide the action selection process through algorithmically generated state descriptions and action selection alternatives in natural language. The simulation experiments that include cubes in this setup show that LLM-guided (GPT3.5-guided) learning yields significantly faster discovery of novel structures compared to random exploration. However, we observed that GPT3.5 fails to effectively guide the robot in generating structures with different affordances such as cubes and spheres. Overall, we conclude that even without fine-tuning, LLMs may serve as a moderate scaffolding agent for improving robot learning, however, they still lack affordance understanding which limits the applicability of the current LLMs in robotic scaffolding tasks.",,,,"Macau, China",9-11 Nov. 2023,,,396,402,978-1-6654-7076-6,,LOCKED,5,0,245,https://ieeexplore.ieee.org/document/10364374/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10364374,https://ieeexplore.ieee.org/document/10364374/
10375176,10.1109/Humanoids57100.2023.10375176,Knowledge Augmentation and Task Planning in Large Language Models for Dexterous Grasping,Hui Li; Dang Tran; Xinyu Zhang; Hongsheng He,2023,12-14 Dec. 2023,2023 IEEE-RAS 22nd International Conference on Humanoid Robots (Humanoids),Conferences,IEEE,"Dexterous grasping is a critical ability for humanoid robots to interact efficiently with the physical environment. Human beings achieve dexterous grasping through a series of high level cognitive processes including target perception, object recognition, feature estimation, and intuitive reasoning. These processes cooperatively contribute to object understanding and the generation of appropriate grasping strategies. However, the current research focuses on establishing large object datasets to estimate object features and employing learning and planning approaches for task deployment, the exploration of the cognitive aspect of dexterous grasping is limited, especially the role of intuition. This paper addresses this research gap by investigating the cognitive processes in dexterous grasping and presents a cognition based grasping system. The proposed system integrates various cognitive processes to enable dexterous grasping. It gathers object information and estimates missing details using a large language model with common sense. Based on the complemented information, the system learns suitable grasp strategies and intuitively guides their execution. Real-world experiments with a anthropomorphic robot hand demonstrated the performance of the proposed system. By leveraging cognitive processes and utilizing the capabilities of a large language model, The proposed method enhances object understanding, generates effective grasping strategies, and provides guidance for the execution of the grasping strategies.",,,,"Austin, TX, USA",12-14 Dec. 2023,,,1,8,979-8-3503-0328-5,2164-0572,LOCKED,2,0,446,https://ieeexplore.ieee.org/document/10375176/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10375176,https://ieeexplore.ieee.org/document/10375176/
10393880,10.1109/SMC53992.2023.10393880,Enhancing Hand and Object Detection for Monitoring Patients with Upper-Limb Impairment: A Study on the Impact of Input Size in Foundation Models,Yasaman Izadmehr; Kamiar Aminian; Andres Perez-Uribe,2023,1-4 Oct. 2023,"2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",Conferences,IEEE,"The choice of input image size can have a significant impact on the performance of the state-of-the-art algorithms. We can always customize the algorithms by training and fine-tuning them on our datasets, but it is time consuming. Nowadays there is a trend to use foundation models but in our application of monitoring patients, both hand detection, object detection and hand-object interaction detection resulted in mediocre performance. This study aimed to investigate the significance of input size for detecting hand-object interaction in two datasets: the patient dataset (captured by super view mode) and the EpicKitchen dataset (captured by normal view mode). The results showed that using different input sizes with the same foundation model can lead to a significant improvement in performance. In the patient dataset, using frames with input sizes of 300 × 300 pixels (px) and 256 × 256 px after cropping and resizing the original images led to more successful hand detection results. Furthermore, using video processing tools like FFmpeg for resizing frames instead of passing the original images to the MediaPipe model for resizing resulted in a 33% improvement. In the EpicKitchen dataset with normal view mode, successful hand detection results were obtained by resizing frames into a rectangle of 256 px and 300 px after padding and cropping the original images. Overall, the study emphasizes the significance of input size for detecting hand-object interaction detection for the purpose of monitoring patients with upper-limb impairment. The combination analysis within each dataset showed that the most effective combination in hand-object interaction detection is achieved by applying the MediaPipe model to an input image size of 300 × 300 px (for super view mode) or 256 × 256 px (for normal view mode) along with the result of YOLOv7 model with an input image size of 1920 × 1920 px. By using this combination, a 100% success rate was achieved for both datasets.",,,,"Honolulu, Oahu, HI, USA",1-4 Oct. 2023,,,4702,4707,979-8-3503-3703-7,1062-922X,LOCKED,1,0,82,https://ieeexplore.ieee.org/document/10393880/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10393880,https://ieeexplore.ieee.org/document/10393880/
10402210,10.1109/CICN59264.2023.10402210,The Future of Document Retrieval: Harnessing the Power of OpenAI and AWS Kendra,Jay Vimalkumar Joshi,2023,22-23 Dec. 2023,2023 IEEE 15th International Conference on Computational Intelligence and Communication Networks (CICN),Conferences,IEEE,"In an era inundated with data, the quest for efficient and accurate information retrieval has become paramount for organizations. Traditional enterprise search methodologies, while foundational, grapple with challenges ranging from relevance issues to the complexities of everevolving linguistic nuances. This research delves into a transformative approach to enterprise search by integrating OpenAI's Foundation Model, a state-of-the-art AI model renowned for its profound linguistic understanding, with Amazon Web Services' Kendra, a machine learning-powered search platform. Our integrated system, showcased through a meticulously designed architecture, demonstrates a remarkable $92 \%$ accuracy in document retrieval, outshining the $78{{\% }}$ achieved by traditional methods. Furthermore, user feedback sessions accentuated the system's adeptness in natural language query processing and the heightened relevance of search results. This paper not only presents the fruits of melding advanced AI with robust search platforms but also paves the way for the future of intelligent enterprise search, emphasizing adaptability, continuous learning, and the promise of a search realm that's not just efficient but profoundly insightful.",Enterprise Search; OpenAI; Amazon Web Services (AWS); Artificial Intelligence; Document Retrieval,Adaptation models; Web services; Query processing; Grasping; Linguistics; Information retrieval; Natural language processing,Amazon Web Services; Text Retrieval; Document Retrieval; Natural Language; Search Results; Information Retrieval; User Feedback; Artificial Intelligence Models; Profound Understanding; Traditional Methodologies; Robust Platform; Foundation Model; Traditional Search; Way In The Future; Search Platform; Data Sources; Machine Learning; Learning Algorithms; Machine Learning Algorithms; Systematic Search; Performance Metrics; Integrated Model; Integrated Assessment Models; Usage Intention; Human-computer Interaction; User Interaction; Removing Stop Words; Natural Language Understanding; Data Security,"Bangkok, Thailand",22-23 Dec. 2023,,,608,613,979-8-3503-2444-0,2375-8244,LOCKED,2,0,113,https://ieeexplore.ieee.org/document/10402210/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10402210,https://ieeexplore.ieee.org/document/10402210/
10459901,10.1109/ICMLA58977.2023.00237,An Investigation of Large Language Models for Real-World Hate Speech Detection,Keyan Guo; Alexander Hu; Jaden Mu; Ziheng Shi; Ziming Zhao; Nishant Vishwamitra; Hongxin Hu,2023,15-17 Dec. 2023,2023 International Conference on Machine Learning and Applications (ICMLA),Conferences,IEEE,"Hate speech has emerged as a major problem plaguing our social spaces today. While there have been significant efforts to address this problem, existing methods are still significantly limited in effectively detecting hate speech online. A major limitation of existing methods is that hate speech detection is a highly contextual problem, and these methods cannot fully capture the context of hate speech to make accurate predictions. Recently, large language models (LLMs) have demonstrated state-of-the-art performance in several natural language tasks. LLMs have undergone extensive training using vast amounts of natural language data, enabling them to grasp intricate contextual details. Hence, they could be used as knowledge bases for context-aware hate speech detection. However, a fundamental problem with using LLMs to detect hate speech is that there are no studies on effectively prompting LLMs for context-aware hate speech detection. In this study, we conduct a large-scale study of hate speech detection, employing five established hate speech datasets. We discover that LLMs not only match but often surpass the performance of current benchmark machine learning models in identifying hate speech. By proposing four diverse prompting strategies that optimize the use of LLMs in detecting hate speech. Our study reveals that a meticulously crafted reasoning prompt can effectively capture the context of hate speech by fully utilizing the knowledge base in LLMs, significantly outperforming existing techniques. Furthermore, although LLMs can provide a rich knowledge base for the contextual detection of hate speech, suitable prompting strategies play a crucial role in effectively leveraging this knowledge base for efficient detection.",hate speech; large language model; prompt engineering; few-shot learning,Training; Hate speech; Knowledge based systems; Natural languages; Machine learning; Benchmark testing; Cognition,Language Model; Hate Speech; Speech Detection; Voice Detection; Voice Activity Detection; Large Language Models; Hate Speech Detection; Knowledge Base; Natural Language; Speech Context; Social Media; Social Platforms; Training Set; Twitter; Retweets; Gender Identity; Sexual Identity; Gender Minority; F1 Score; F-measure; Sexual Orientation; Benchmark Datasets; Intermediate Step; Precise Model; Precision Of Model; Multiple Languages; Multi-language; Multilingual Language; Recall Score; Few-shot Learning; Types Of Speech; Supervised Learning Techniques; Understanding Of Models; Natural Language Processing Tasks; Lower F1 Score; Forms Of Speech; Form Of Address,"Jacksonville, FL, USA",15-17 Dec. 2023,,,1568,1573,979-8-3503-1891-3,1946-0740,LOCKED,22,0,506,https://ieeexplore.ieee.org/document/10459901/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10459901,https://ieeexplore.ieee.org/document/10459901/
10473591,10.1109/IRC59093.2023.00039,Generation of Robot Manipulation Plans Using Generative Large Language Models,Jan-Philipp Töberg; Philipp Cimiano,2023,11-13 Dec. 2023,2023 Seventh IEEE International Conference on Robotic Computing (IRC),Conferences,IEEE,"Designing plans that allow robots to carry out actions such as grasping an object or cutting a fruit is a timeconsuming activity requiring specific skills and knowledge. The recent success of Generative Large Language Models (LLMs) has opened new avenues for code generation. In order to evaluate the ability of LLMs to generate code representing manipulation plans, we carry out experiments with different LLMs in the CRAM framework. In our experimental framework, we ask an LLM such as ChatGPT or GPT-4 to generate a plan for a specific target action given the plan (called designator within CRAM) for a given reference action as an example. We evaluate the generated designators against a ground truth designator using machine translation and code generation metrics, as well as assessing whether they compile. We find that GPT-4 slightly outperforms ChatGPT, but both models achieve a solid performance above all evaluated metrics. However, only ~36 % of the generated designators compile successfully. In addition, we assess how the chosen reference action influences the code generation quality as well as the compilation success. Unexpectedly, the action similarity negatively correlates with compilation success. With respect to the metrics, we obtain either a positive or negative correlation depending on the used model. Finally, we describe our attempt to use ChatGPT in an interactive fashion to incrementally refine the initially generated designator. On the basis of our observations we conclude that the behaviour of ChatGPT is not reliable and robust enough to support the incremental refinement of a designator.",Robot Plan Generation; Large Language Models; Action Similarity; CRAM; GPT,Measurement; Solid modeling; Codes; Correlation; Grasping; Chatbots; Solids,Manipulation Planning; Large Language Models; Generative Language Models; Specific Activity; Active Targeting; Machine Translation; Code Generation; Machine Code; Similar Activity; Source Code; Data Compression; Similarity Measure; Similarity Metrics; Programming Language; Version Of Model; Semantic Similarity; Semantic Relatedness; Quality Metrics; Human Users; Software Quality; Code Quality; Newer Version; Older Version; Zero-shot; Zero-shot Learning; Aforementioned Metrics,"Laguna Hills, CA, USA",11-13 Dec. 2023,,,190,197,979-8-3503-9575-4,,LOCKED,2,0,383,https://ieeexplore.ieee.org/document/10473591/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10473591,https://ieeexplore.ieee.org/document/10473591/
