Papers,Link,HandName,Num. of Fingers,DoF,Num. Actuators,Palm (used or not),Reposition / Opposition,Abduction / Adduction,Flexion/Extension,Tactile Feedback,Kinesthetic Feedback,Visual Feedback,No Contact -> No Motion: Rest position,No Contact -> Motion -> Not Within Hand: Waving,No Contact -> Motion -> Within Hand: Signing,Contact -> Non-Prehensile -> No Motion -> No Motion at Contact: Open handed hold,Contact -> Non-Prehensile -> No Motion -> Motion at Contact: Open handed hold with external force,Contact -> Non-Prehensile -> Motion -> Not Within Hand -> No Motion at Contact: Pushing coin,Contact -> Non-Prehensile -> Motion -> Not Within Hand -> Motion at Contact: Tactile surface exploration,Contact -> Non-Prehensile -> Motion -> Within Hand -> No Motion at Contact: Flipping light switch,Contact -> Non-Prehensile -> Motion -> Within Hand -> Motion at Contact: Rolling ball on table,Contact -> Prehensile -> No Motion -> No Motion at Contact: Holding object still,Contact -> Prehensile -> No Motion -> Motion at Contact: Holding object with external force,Contact -> Prehensile -> Motion -> Not Within Hand -> No Motion at Contact: Turning doorknob,Contact -> Prehensile -> Motion -> Not Within Hand -> Motion at Contact: Sliding hand along handrail,Contact -> Prehensile -> Motion -> Within Hand -> No Motion at Contact: Writing,Contact -> Prehensile -> Motion -> Within Hand -> Motion at Contact: Reorienting pen,Contact -> Prehensile -> Motion -> Within Hand -> No Motion at Contact: DoF,Contact -> Prehensile -> Motion -> Within Hand -> Motion at Contact: DoF
A 3D Printed Soft Robotic Hand With Embedded Soft Sensors for Direct Transition Between Hand Gestures and Improved Grasping Quality and Diversity,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9726204,Custom Hand (ACES-V2),5,10,,Yes,Switching,Neither of the two,Switching,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,-,-
PUT-hand—Hybrid industrial and biomimetic gripper for elastic object manipulation,https://www.mdpi.com/2079-9292/9/7/1147,Custom Hand,5,15,7,No,Switching,Switching,Switching,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,-,-
Grasping force control of multi-fingered robotic hands through tactile sensing for object stabilization,https://www.mdpi.com/1424-8220/20/4/1050,Shadow Hand,5,24,20,Yes,Switching,Neither of the two,Switching,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,-,-
Co-optimization of robotic design and skill inspired by human hand evolution,https://iopscience.iop.org/article/10.1088/1748-3190/ac884e/meta,Custom Hand,5,15,4,Yes,Switching,Switching,Switching,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,-,-
Dexterous manipulation of unknown objects using virtual contact points,https://www.mdpi.com/2218-6581/8/4/86,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,-,1
Development of a Multisensory Underactuated Prosthetic Hand With Fully Integrated Electronics,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9919416,Custom Hand,5,15,6,Yes,Switching,Neither of the two,Switching,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,-,-
Human-Inspired Haptic-Enabled Learning From Prehensile Move Demonstrations,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9330549,ReFlex RightHand Robotics,3,4,4,Yes,Neither of the two,Neither of the two,Switching,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,-,-
Leveraging Contact Forces for Learning to Grasp,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8793733,Barrett Hand,3,8,4,No,Switching,Switching,Switching,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,-,-
Planning Visual-Tactile Precision Grasps via Complementary Use of Vision and Touch,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9996386,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,-,-
Robot Synesthesia: In-Hand Manipulation with Visuotactile Sensing,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10610532,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,-,1
See to Touch: Learning Tactile Dexterity through Visual Incentives,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10611407,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-,-
A Dexterous Hand-Arm Teleoperation System Based on Hand Pose Estimation and Active Vision,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9906807,Shadow Hand,5,24,20,No,Switching,Switching,Switching,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,-,-
DexTouch: Learning to Seek and Manipulate Objects With Tactile Dexterity,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10714461,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,-,-
